Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_unknown,Survived
4.81055209950187,12.100673395646412,-1.2002932709286216,-1.115896380989799,1,0,-3.623452717384035,0,1,0,0
2.740236544972159,27.395284889979543,-1.4283011383687907,-1.7789727890718077,0,1,0.71655192652271,0,0,1,0
3.4332947044364595,24.035253107271167,-0.2905060806695153,-2.2847807421740955,0,1,2.3618389633028047,1,0,1,0
8.030607330618885,20.80927114637021,1.3769476637253193,-1.7545916575221576,1,0,-1.0599592600712509,1,1,0,1
2.6582261829868012,17.373579339991394,-2.568201723699047,2.229952132879619,0,0,-2.548749999415038,1,0,0,0
1.6812289403525575,29.00842724044247,0.7327278530033221,-1.3644215545941965,0,1,3.873245401348384,0,0,0,0
0.6906779138047003,43.14960359269504,-0.27588003325494787,-0.7610624161475931,0,0,-0.9060181032555823,0,1,1,0
1.089289479168334,26.44499222116418,-2.0482504558696446,-0.2909452534531003,1,1,-0.015409880193439824,1,1,1,0
-1.010795502736615,21.3002313316949,-0.23341387528672453,1.252703924559497,0,1,-0.7003152986341474,0,1,0,0
4.058211610166811,40.77881229230826,1.4811692514065782,-2.978126242903834,1,0,3.7638349853674176,1,1,0,0
4.4999585560263595,34.48984215399168,-2.198109792237578,-0.3630416326850019,0,1,2.659784047061217,1,1,0,0
4.04265547797072,18.204268305804327,0.1503721650613105,-1.07121564474009,1,1,-3.06488560080386,0,1,1,0
1.0792599011724282,45.99231842837028,-0.45353327262644516,-3.2016349916641413,1,1,-0.27405235060517225,0,1,0,0
0.07397280246487892,31.38637495300345,0.5751889259578031,0.2931681515250341,1,1,-0.2993783180194651,1,1,0,0
5.771270357517375,15.884202403223028,-1.2571972338517081,0.2158035098509694,0,1,-0.5602105459334864,1,1,1,0
2.6021822194976822,21.436296854486123,-2.1712954369726356,3.261493794600858,0,0,2.601933941494428,0,1,0,0
5.0156185622055,26.84627198316569,1.5410175232640027,-0.9587318497200911,1,1,-2.574987314544334,0,0,0,0
2.520417047929476,33.400211666119134,-0.9686602169524895,-1.2059852702134792,1,1,1.1544595461448388,0,1,1,0
2.611121643109137,31.339817844122084,1.4166493635028006,4.428023504299292,0,1,2.973998673036796,1,1,1,0
2.222065162663273,33.70540945631195,-0.14631247715300738,2.590240201968662,1,1,-1.005043465550312,0,1,1,1
